timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1523946833737928,-1,-4,5,3,55,32,-5,1
1523946833746955,-1,2,3,22,-10,0,-7,-4
1523946833746955,0,1,0,-9,-2,23,13,3
1523946833761994,-2,-5,-8,-26,-32,-43,-19,-9
1523946833761994,-3,-1,2,14,-45,-15,-9,-4
1523946833763998,4,10,14,10,75,69,31,13
1523946833763998,-2,-12,-22,-9,-55,-30,-27,-12
1523946833776028,-3,-3,-7,11,7,17,5,-2
1523946833776028,-4,-3,-2,-7,-40,-21,-9,-4
1523946833785062,1,-9,-21,-5,21,-7,-12,-3
1523946833785062,4,11,14,-5,67,90,29,9
1523946833798088,-1,-3,9,20,-47,-23,-11,-3
1523946833798088,0,4,-13,-19,43,-5,9,4
1523946833807112,-4,-3,22,15,-53,-25,-20,-7
1523946833807112,-2,7,12,-8,-2,-8,10,3
1523946833822151,-1,-3,-3,-11,-12,1,0,-2
1523946833822151,0,0,3,6,13,4,-4,-2
1523946833824157,0,-8,-30,3,19,-2,8,-1
1523946833824157,-1,1,18,3,-20,-28,-19,-2
1523946833836192,-1,-4,-24,1,-5,-17,7,1
1523946833836192,-3,-1,15,2,27,-11,-5,-2
1523946833845216,0,0,-13,-13,-34,1,4,1
1523946833845216,-1,2,13,16,34,24,-1,-1
1523946833858247,0,-9,-14,-12,-12,-44,-14,-6
1523946833858247,1,1,4,5,12,3,-1,0
1523946833867272,1,7,14,1,14,12,3,2
1523946833867272,-2,-10,-23,-8,-37,-28,2,-1
1523946833882315,0,1,3,-3,-5,20,-1,3
1523946833882315,2,8,20,9,45,25,4,2
1523946833884319,-6,-11,-11,6,-37,-25,-18,-9
1523946833884319,-4,-2,-10,-4,-3,-15,-5,-5
1523946833896351,1,4,3,5,13,7,-1,2
1523946833896351,0,1,2,-3,-21,-19,-5,-3
1523946833904371,1,0,-21,-28,-30,-12,6,2
1523946833904371,5,11,45,66,56,38,22,10
1523946833918409,-4,-13,-20,-45,-4,-33,-16,-8
